stop_id,stop_name,violation_count,max_severity,top_violation,has_other_issues
9022005000044001,Hässlegatan,2,1,missing_stop_id_in_pattern,False
9022005001229002,Strågatan,1,1,missing_stop_id_in_pattern,False
9022005001230002,Middagsgatan,1,1,missing_stop_id_in_pattern,False
9022005001233002,Grindgatan,3,1,missing_stop_id_in_pattern,False
9022005001232002,Myntgatan,3,1,missing_stop_id_in_pattern,False
9022005000045002,Resedan,4,1,missing_stop_id_in_pattern,False
9022005001231002,Ridhusgatan,4,1,missing_stop_id_in_pattern,False
9022005000043002,Berga Söderleden,3,1,missing_stop_id_in_pattern,False
9022005001227002,Majelden,3,1,missing_stop_id_in_pattern,False
9022005001221002,Folkungavallen,6,1,missing_stop_id_in_pattern,False
9022005000042002,Tinnerbäcksbadet,8,1,missing_stop_id_in_pattern,False
9022005000046004,Trädgårdstorget,3,3,stop_id_from_invalid_parent_topology,True
9022005001243002,Kungsgatan,14,1,missing_stop_id_in_pattern,False
9022005000050003,Linköpings resecentrum,1,1,missing_stop_id_in_pattern,False
9022005001223002,Klostergatan,2,1,missing_stop_id_in_pattern,False
9022005000417003,Konsert & Kongress,1,1,missing_stop_id_in_pattern,False
9022005001219002,Abisko,1,1,missing_stop_id_in_pattern,False
9022005001234002,Åbylund,1,1,missing_stop_id_in_pattern,False
9022005001235002,Blomgatan,1,1,missing_stop_id_in_pattern,False
9022005001236003,Rusthållaregården,3,1,missing_stop_id_in_pattern,False
9022005001411002,Mellangården,3,1,missing_stop_id_in_pattern,False
9022005000048001,Skäggetorp centrum,5,1,missing_stop_id_in_pattern,False
9022005001411001,Mellangården,3,2,missing_stop_id_in_pattern,False
9022005001236001,Rusthållaregården,2,2,missing_stop_id_in_pattern,False
9022005001235001,Blomgatan,1,1,missing_stop_id_in_pattern,False
9022005001234001,Åbylund,1,1,missing_stop_id_in_pattern,False
9022005001219001,Abisko,1,1,missing_stop_id_in_pattern,False
9022005000417001,Konsert & Kongress,2,1,missing_stop_id_in_pattern,False
9022005001223001,Klostergatan,2,1,missing_stop_id_in_pattern,False
9022005000050002,Linköpings resecentrum,1,1,missing_stop_id_in_pattern,False
9022005001243001,Kungsgatan,14,1,missing_stop_id_in_pattern,False
9022005000046003,Trädgårdstorget,13,3,stop_id_from_invalid_parent_topology,True
9022005000042001,Tinnerbäcksbadet,11,1,missing_stop_id_in_pattern,False
9022005001222001,Bergdalsgatan,6,1,missing_stop_id_in_pattern,False
9022005001227001,Majelden,3,1,missing_stop_id_in_pattern,False
